Golf_Course_Name,Latitude,Longitude
Arklow Golf Club,52.7898,-6.1494
Bray Golf Club,53.18219,-6.09159
Wicklow,52.97631,-6.02605
FoxRock,53.27253,-6.18429
Woodenbridge,52.83319,-6.23166
Druids glen,53.0958,-6.0787
Druids heath,53.09138,-6.08091
Blainrow,52.94487,-6.01835
leapardstown,53.26643,-6.18911
The K club,53.30683,-6.62527
Howth,53.37543,-6.08907
Elm Park,53.31405,-6.2172
Deer Park,53.38089,-6.07715
Newlands,53.30871,-6.39191
Woodbrook,53.21716,-6.11167
PowerScourt,53.18734,-6.18612
Dun laoghaire,53.21239,-6.16196
Delgany,53.13348,-6.10167
Greystones,53.13981,-6.07343
Old Conna,53.21565,-6.13798
